distance
147
147
145
144
145
145
146
144
147
144
143
143
145
144
146
141
142
144
146
145
143
145
141
148
146
145
143
144
147
145
143
146
145
143
146
141
145
143
143
146
144
144
142
144
146
146
142
144
145
146
143
148
146
147
147
142
147
144
144
148
145
142
146
142
144
146
143
144
144
146
147
142
146
143
147
148
143
145
146
139
144
144
143
146
147
142
145
143
143
144
140
143
144
144
148
146
145
145
142
144
144
142
145
142
144
146
147
144
145
144
143
142
142
142
142
143
144
148
144
144
146
144
145
145
148
144
146
146
146
141
145
146
146
148
144
142
142
143
145
142
146
148
144
145
147
145
145
145
144
147
145
143
143
147
144
143
148
147
144
145
145
145
145
145
145
149
144
146
147
145
146
143
145
142
141
145
144
142
146
144
146
144
148
146
141
142
144
145
142
144
145
145
147
147
145
144
148
144
145
145
144
147
146
145
145
146
142
145
147
147
147
146
144
144
144
144
145
144
146
147
145
145
146
144
142
145
144
145
144
145
144
144
143
145
144
142
146
145
144
144
141
148
144
146
145
143
143
146
142
145
144
145
146
145
144
145
144
145
143
142
146
146
145
146
146
143
145
141
145
144
145
145
144
144
144
142
144
146
145
146
143
148
146
142
143
142
147
145
145
144
142
142
145
145
148
140
143
146
142
145
