distance
173
178
175
177
176
175
177
176
176
176
175
175
175
176
181
176
174
178
175
175
175
173
176
178
176
173
175
173
176
177
179
178
172
172
177
176
176
175
176
175
176
177
176
175
178
177
177
175
176
176
176
176
179
173
178
171
177
176
179
174
175
178
176
180
177
175
175
176
178
178
175
178
177
174
179
175
173
177
175
174
177
175
177
175
177
176
176
172
175
174
176
174
177
173
177
177
175
177
179
173
177
178
174
175
175
174
177
178
175
174
177
175
179
174
175
178
177
176
174
176
176
177
179
177
177
181
174
179
176
177
173
174
175
177
179
178
177
178
175
175
176
176
175
175
179
177
176
180
180
177
173
178
175
171
172
175
174
178
176
175
176
174
177
177
175
175
177
175
174
178
177
175
180
174
179
176
179
178
173
179
176
174
176
176
179
177
177
177
175
174
175
176
177
178
178
176
173
178
178
176
177
176
174
172
177
177
176
176
175
175
176
176
171
180
178
174
175
177
174
175
177
180
179
173
175
176
178
175
176
176
174
177
174
175
174
177
176
175
174
175
175
175
175
176
174
177
173
178
174
174
176
176
175
174
177
176
175
175
175
173
173
179
176
178
176
175
176
177
177
176
176
174
175
173
175
177
179
174
177
172
175
176
178
173
177
176
175
178
177
178
176
175
173
175
176
176
175
175
175
178
