valore,media,devstd,error
0,7.956666666666667,1.022222424183652,7.956666666666667
5,13.556666666666667,1.0632767342516678,8.556666666666667
10,19.373333333333335,1.005314750736829,9.373333333333335
15,24.35,1.0884771971408735,9.350000000000001
20,29.626666666666665,1.148194258712941,9.626666666666665
25,34.473333333333336,1.1165922037103988,9.473333333333336
30,39.34,1.2608326600526805,9.340000000000003
35,44.766666666666666,1.2901306182953334,9.766666666666666
40,50.20333333333333,1.2965050353074146,10.203333333333333
45,55.61666666666667,1.2655939246704546,10.616666666666667
50,60.61666666666667,1.2225811101074346,10.616666666666667
55,65.37666666666667,1.2355339071326494,10.376666666666665
60,70.08,1.2241712779369365,10.079999999999998
65,75.23333333333333,1.2559779020842559,10.233333333333334
70,79.72666666666667,1.255871383540345,9.726666666666674
75,84.30666666666667,1.1961290221715881,9.306666666666672
80,88.85333333333334,1.3557096731781175,8.853333333333339
85,94.17,1.5456595825570716,9.170000000000002
90,99.86333333333333,1.7012651859715713,9.86333333333333
95,105.87333333333333,1.6225693595789272,10.873333333333335
100,111.28333333333333,1.4640812826580545,11.283333333333331
105,115.74,1.5297714433523464,10.739999999999995
110,120.41666666666667,1.4549151691376527,10.416666666666671
115,125.18333333333334,1.5570711149716807,10.183333333333337
120,129.59333333333333,1.4906471700262427,9.593333333333334
125,134.64666666666668,1.660626736934068,9.646666666666675
130,140.11,1.645272949064403,10.110000000000014
135,144.56333333333333,1.7728882267184847,9.563333333333333
140,149.73666666666668,1.6318287612089033,9.736666666666679
145,154.73333333333332,1.760460059461376,9.73333333333332
150,159.23666666666668,1.6007906352012584,9.236666666666679
155,165.91333333333333,1.9003138859425064,10.913333333333327
160,169.08333333333334,2.1397001217285814,9.083333333333343
165,175.90666666666667,1.8391748428477654,10.906666666666666
170,180.14666666666668,2.321591734744001,10.146666666666675
